CASE,RW01_01,RW01_02,RW01_03,RW01_04,RW01_05,RW01_06,RW01_07,RW01_08,RW01_09,RW01_10,RW01_11,RW01_12,RW01_13,RW01_14,RW01_15
152,7,7,9,3,9,6,9,5,7,9,9,7,9,7,7
153,9,4,9,1,9,2,9,2,8,2,9,5,9,3,9
160,8,1,7,2,8,2,8,3,8,1,8,1,9,1,9
162,9,9,9,1,9,8,9,2,9,9,9,5,9,8,7
163,9,5,8,1,8,5,9,5,9,3,9,5,9,8,9
164,8,2,8,1,7,2,5,3,8,7,9,7,9,7,7
166,8,5,9,1,9,1,9,1,6,5,9,8,9,9,9
169,6,7,6,2,6,4,4,4,7,4,6,5,7,7,6
174,8,2,9,1,6,3,7,2,6,4,7,6,8,4,7
177,7,2,6,1,6,2,5,2,9,4,9,2,6,3,8
178,8,1,8,1,5,3,8,1,8,1,5,1,5,2,7
179,9,1,9,1,9,1,9,1,9,9,9,9,9,1,9
180,8,2,8,2,8,7,6,3,8,5,7,4,7,3,8
181,8,1,9,1,8,1,8,1,9,1,9,8,9,1,9
185,7,3,5,2,5,4,7,3,8,4,6,4,7,6,6
187,9,5,9,1,9,5,9,5,9,5,9,5,9,5,9
188,7,5,7,3,5,5,7,3,5,4,7,5,7,5,6
191,5,4,7,2,7,4,5,4,6,5,6,7,4,3,7
194,9,1,6,1,7,5,8,1,8,2,9,2,7,3,7
195,9,1,7,1,8,1,9,3,8,1,9,3,9,1,8
197,9,8,9,1,8,7,9,3,8,9,9,7,9,8,9
198,3,2,2,1,1,2,8,1,9,2,9,9,2,7,9
204,8,7,8,4,9,4,9,1,9,6,9,9,9,4,9
205,7,3,5,1,3,3,9,2,9,5,9,1,8,2,9
206,7,8,9,6,9,6,9,3,7,9,7,9,9,4,5
211,9,1,9,1,5,1,3,1,1,9,9,3,9,1,2
213,8,2,9,3,8,3,6,2,8,6,8,4,9,2,9
217,9,1,9,1,9,5,9,4,9,6,9,7,9,1,9
219,9,3,7,3,7,3,7,1,9,4,7,3,6,4,6
221,6,5,4,1,2,3,2,2,6,3,8,3,9,4,6
222,8,1,8,1,7,3,3,3,6,7,7,3,8,3,7
224,4,1,1,1,1,4,2,1,3,2,6,1,9,2,6
228,9,2,9,1,9,7,9,2,8,4,9,7,9,3,9
230,1,1,9,1,1,1,1,1,5,9,1,1,9,1,9
231,8,2,5,2,5,1,1,1,9,3,5,1,7,2,7
232,9,1,9,1,9,1,9,1,9,7,9,1,9,1,9
233,9,2,9,1,9,1,8,1,9,1,9,4,9,1,9
236,6,3,7,3,5,6,7,4,7,4,5,6,7,6,8
237,9,1,9,1,9,1,9,1,9,9,9,1,9,5,9
238,5,3,8,2,5,5,5,1,9,3,9,1,8,3,9
239,7,2,9,1,9,2,9,9,9,2,9,4,9,2,9
242,9,3,8,2,9,6,8,3,8,6,8,7,9,5,6
244,9,7,9,3,9,7,9,1,9,9,9,9,9,6,9
245,9,1,9,1,9,5,9,5,9,5,9,5,9,9,9
246,9,5,9,1,9,3,9,1,8,1,9,5,8,2,9
248,8,7,9,2,8,2,8,4,6,3,8,9,9,3,8
249,9,1,9,5,5,8,9,2,9,8,7,8,8,7,7
251,9,9,9,1,5,5,9,1,9,9,9,5,9,9,9
252,9,3,9,1,9,3,9,3,8,9,9,1,9,3,9
254,9,2,9,1,8,2,7,2,8,5,8,3,8,5,9
256,9,3,9,2,8,2,8,1,7,9,9,8,9,9,9
257,9,3,7,2,8,8,8,2,6,9,8,8,8,5,9
259,9,6,9,1,9,4,1,3,9,9,9,6,9,2,9
260,9,8,9,8,9,7,8,1,6,9,9,8,9,9,8
261,7,3,9,4,7,4,6,2,8,6,7,4,8,5,7
263,8,5,5,1,5,2,1,2,5,5,9,2,5,5,8
264,9,5,9,1,9,1,7,6,9,1,9,2,9,1,9
266,9,1,9,1,9,1,9,1,9,9,9,9,9,1,9
268,9,5,8,3,6,2,9,3,9,3,8,5,9,4,7
271,9,2,5,1,9,1,9,1,7,7,8,8,8,3,8
272,2,4,2,1,4,3,2,1,4,1,5,2,8,3,6
273,9,2,8,1,5,1,3,1,7,1,7,2,3,2,9
274,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
277,9,6,9,1,9,2,9,2,9,1,9,9,9,3,9
278,8,7,8,2,3,2,2,1,8,3,7,1,9,2,8
280,8,3,7,2,4,3,4,4,8,4,7,6,7,6,7
281,5,4,3,1,1,3,2,1,3,6,5,1,6,1,6
283,2,1,7,1,1,2,1,2,6,5,5,9,9,2,1
287,9,1,9,1,9,8,9,1,9,9,9,1,9,3,9
294,7,6,7,3,7,4,6,3,5,6,4,6,7,1,6
298,7,3,7,1,5,3,3,2,5,9,8,2,5,3,2
300,7,3,9,3,9,3,9,3,7,3,9,5,9,1,9
301,6,9,9,1,9,9,9,5,9,5,9,5,9,9,6
303,9,1,9,2,9,2,9,3,9,8,8,6,9,1,9
306,2,1,5,1,1,1,1,2,6,3,6,4,2,3,3
308,9,1,1,1,1,2,9,1,6,1,9,2,9,1,9
310,9,8,9,7,9,8,9,1,9,9,9,9,9,9,9
311,9,5,7,1,7,5,7,3,6,5,6,5,9,7,7
315,7,4,3,1,5,6,5,1,9,4,9,1,9,1,9
316,6,1,1,1,1,7,2,1,3,1,9,1,7,1,9
317,8,2,5,1,7,1,5,2,6,1,8,2,8,5,9
320,7,6,7,3,3,5,4,4,4,6,4,6,3,6,4
323,8,2,8,2,7,5,9,2,6,7,7,6,8,2,8
324,9,9,9,1,9,1,9,1,9,1,9,1,9,1,9
328,3,3,8,2,5,4,6,1,8,6,8,4,4,3,8
330,9,1,9,4,9,1,2,1,2,9,9,5,9,9,9
331,9,5,5,5,9,5,9,5,9,8,9,5,9,8,9
334,7,2,9,1,6,3,9,3,7,7,9,5,8,2,9
335,9,3,9,2,1,3,9,3,9,1,9,6,9,1,9
338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
339,6,4,7,3,8,4,4,3,6,4,7,6,7,7,6
340,2,2,5,1,1,1,2,2,2,2,3,2,1,2,4
341,9,5,9,1,6,3,8,2,7,5,8,5,6,1,9
344,9,1,1,1,9,9,9,1,9,1,9,9,9,1,9
347,8,5,9,1,9,3,9,5,9,8,9,5,8,8,9
